Id,Label
4,genetic algorithms
21,CLIR
23,Cross - Language Information Retrieval
26,machine translation
34,automatic query expansion
64,Distributed Information Retrieval
70,mAP
82,query expansion
114,language modeling
125,FIRE
137,Precision
332,LSI
361,document
372,Latent Semantic Indexing
383,Topic segmentation
387,question answering
413,query
505,AP
543,cross - lingual information retrieval
611,statistical machine translation
650,pseudo relevance feedback
669,Terrier
784,LDA
885,probabilistic
1133,text clustering
1770,ad hoc retrieval
1894,PLSA
2621,probabilistic information retrieval
3993,multi - attribute dataId,Label
5113,genetic algorithm
5123,MT - based approach
5126,Mean Average Precision
5153,CORI
5162,dictionary - based translation
5164,SMT
5186,BM25
5187,LM
5190,Forum for Information Retrieval Evaluation
5199,relevance feedback
5204,Vector Space Model
5221,logistic regression
5249,probabilistic model
5254,dictionary - based query translation
5264,thesauri
5295,Latent Semantic
5326,Reader Judgment
5344,probabilistic models
5403,Singular Value Decomposition
5406,VSM
5416,content - based analysis
5449,SVD
5474,PRF
5481,latent semantics
5485,Divergence From Randomness
5533,OOV
5545,AQE
5546,Dirichlet
5555,Latent Dirichlet Allocation
5834,F - Score
6035,HMM
6307,probabilistic approach
7003,probabilistic latent semantic analysis
7144,Markov Network
7543,top - k
