Id,Label
4,Natural Language processing
8,NLP
44,Cross - Language Information Retrieval
64,multimedia information retrieval
76,ETSI - DSR
77,Distributed Speech Recognition
78,DSR
86,word recognition errors
87,Spoken Document Retrieval
125,Music Information Retrieval
146,Geographic Information Retrieval
180,MSIR
181,Clustering and classification Information systems
183,Mixed Script Information Retrieval
184,CCS
185,Question answering
186,Question classification
188,Concepts Information systems
209,FIRE
214,Resource selection
218,distributed information retrieval
245,MLIR
249,text retrieval
250,knowledge acquisition and
290,Multimedia Information Retrieval System
300,multilingual Information Retrieval
344,EWN
347,Cross - Language Text Retrieval
352,multilingual database
355,ILI
393,text understanding
699,cross - language retrieval
798,neural networks
1393,LSIId,Label
3816,ARABic Information Retrieval System
3817,Arabic web - based information retrieval system
3818,ARABIRS
3839,SPHINX IV
3842,WRE
3850,Self - Organising Map clustering algorithm
3865,embedding based
3867,Recurrent Neural Network
3868,Logistic regression
3869,Bag - ofWords method
3873,Forum for Information Retrieval Evaluation
3876,ReDDE
3877,CORI
3878,KL divergence resource selection algorithm
3879,Relevant Document Distribution Estimation
3880,KL divergence
3881,resource selection algorithm
3887,Precision
3890,knowledge graphs
3903,pre - filtering
3904,late semantic fusion
3913,EuroWordNet
3922,VENUS
3984,thesauri
4046,neural network
4242,inverted index
4271,Latent semantic indexing
